inventory_id,product_id,warehouse_id,stock_quantity,reorder_level,last_updated
INV00001,PROD00001,WH-001,491,63,2025-04-02 16:01:05
INV00002,PROD00002,WH-003,489,39,2025-02-15 08:30:48
INV00003,PROD00003,WH-003,266,52,2025-03-14 16:58:21
INV00004,PROD00004,WH-004,334,28,2025-02-25 06:14:43
INV00005,PROD00005,WH-003,389,32,2025-03-07 07:44:40
INV00006,PROD00006,WH-001,37,39,2025-03-26 12:22:05
INV00007,PROD00007,WH-001,220,61,2025-03-11 04:17:05
INV00008,PROD00008,WH-002,169,15,2025-04-02 16:03:42
INV00009,PROD00009,WH-004,357,20,2025-04-04 14:55:42
INV00010,PROD00010,WH-004,453,16,2025-03-17 11:06:00
INV00011,PROD00011,WH-002,177,68,2025-02-07 15:14:49
INV00012,PROD00012,WH-004,22,32,2025-02-26 13:51:44
INV00013,PROD00013,WH-002,0,20,2025-04-09 12:35:17
INV00014,PROD00014,WH-003,183,75,2025-01-14 11:02:21
INV00015,PROD00015,WH-004,171,38,2025-01-09 19:19:18
INV00016,PROD00016,WH-001,189,56,2025-03-08 12:54:05
INV00017,PROD00017,WH-001,4,64,2025-04-02 20:19:25
INV00018,PROD00018,WH-001,259,26,2025-01-29 19:56:51
INV00019,PROD00019,WH-002,192,77,2025-03-31 20:20:06
INV00020,PROD00020,WH-001,198,79,2025-03-14 03:29:09
INV00021,PROD00021,WH-001,306,22,2025-02-13 06:38:36
INV00022,PROD00022,WH-002,237,20,2025-02-20 07:45:21
INV00023,PROD00023,WH-003,308,80,2025-01-29 12:55:58
INV00024,PROD00024,WH-003,166,16,2025-03-01 05:13:02
INV00025,PROD00025,WH-004,468,78,2025-01-09 05:17:53
INV00026,PROD00026,WH-002,224,35,2025-03-31 04:13:15
INV00027,PROD00027,WH-001,439,21,2025-02-03 01:09:51
INV00028,PROD00028,WH-003,287,42,2025-03-27 00:54:00
INV00029,PROD00029,WH-004,433,17,2025-04-10 16:56:00
INV00030,PROD00030,WH-004,285,41,2025-01-06 05:19:36
INV00031,PROD00031,WH-003,222,22,2025-03-15 11:18:49
INV00032,PROD00032,WH-003,89,41,2025-02-01 02:48:43
INV00033,PROD00033,WH-004,37,18,2025-01-01 08:06:57
INV00034,PROD00034,WH-001,87,61,2025-02-21 08:20:20
INV00035,PROD00035,WH-002,399,75,2025-03-05 09:16:07
INV00036,PROD00036,WH-003,301,70,2025-03-05 03:51:29
