order_item_id,order_id,product_id,quantity,unit_price,discount_amount
ITEM-ORD000001-1,ORD000001,PROD00075,2,101.77,5
ITEM-ORD000001-2,ORD000001,PROD00010,3,39.63,0
ITEM-ORD000001-3,ORD000001,PROD00011,1,440.33,0
ITEM-ORD000002-1,ORD000002,PROD00376,4,498.87,0
ITEM-ORD000003-1,ORD000003,PROD00308,4,35.99,15
ITEM-ORD000003-2,ORD000003,PROD00192,5,214.61,15
ITEM-ORD000003-3,ORD000003,PROD00244,1,496.97,10
ITEM-ORD000004-1,ORD000004,PROD00028,2,265.54,5
ITEM-ORD000004-2,ORD000004,PROD00155,5,227.67,0
ITEM-ORD000004-3,ORD000004,PROD00396,2,350.43,10
ITEM-ORD000004-4,ORD000004,PROD00163,4,211.48,5
ITEM-ORD000005-1,ORD000005,PROD00154,4,377.8,0
ITEM-ORD000005-2,ORD000005,PROD00324,2,493.7,0
ITEM-ORD000005-3,ORD000005,PROD00165,3,373.11,15
ITEM-ORD000006-1,ORD000006,PROD00126,2,436.37,0
ITEM-ORD000006-2,ORD000006,PROD00477,1,264.7,0
ITEM-ORD000006-3,ORD000006,PROD00034,5,462.09,0
ITEM-ORD000007-1,ORD000007,PROD00347,4,25.69,5
ITEM-ORD000008-1,ORD000008,PROD00040,3,410.45,0
ITEM-ORD000008-2,ORD000008,PROD00105,3,40.68,15
ITEM-ORD000009-1,ORD000009,PROD00084,4,394.0,5
ITEM-ORD000009-2,ORD000009,PROD00433,5,428.24,15
ITEM-ORD000009-3,ORD000009,PROD00039,3,366.51,15
ITEM-ORD000009-4,ORD000009,PROD00389,5,97.05,0
ITEM-ORD000010-1,ORD000010,PROD00042,3,447.76,5
ITEM-ORD000010-2,ORD000010,PROD00363,3,492.44,15
ITEM-ORD000011-1,ORD000011,PROD00074,1,334.59,15
ITEM-ORD000011-2,ORD000011,PROD00141,3,297.52,20
ITEM-ORD000012-1,ORD000012,PROD00313,4,202.16,5
ITEM-ORD000013-1,ORD000013,PROD00475,4,391.65,5
ITEM-ORD000013-2,ORD000013,PROD00354,2,419.59,20
ITEM-ORD000013-3,ORD000013,PROD00273,2,226.43,0
ITEM-ORD000014-1,ORD000014,PROD00092,1,291.86,10
ITEM-ORD000015-1,ORD000015,PROD00195,1,336.27,20
ITEM-ORD000015-2,ORD000015,PROD00370,4,322.1,0
ITEM-ORD000015-3,ORD000015,PROD00381,2,93.92,5
ITEM-ORD000015-4,ORD000015,PROD00245,5,432.29,20
ITEM-ORD000016-1,ORD000016,PROD00259,2,10.04,0
ITEM-ORD000016-2,ORD000016,PROD00435,2,307.15,5
ITEM-ORD000016-3,ORD000016,PROD00149,5,322.19,0
ITEM-ORD000016-4,ORD000016,PROD00486,4,493.93,0
ITEM-ORD000017-1,ORD000017,PROD00278,3,304.52,10
ITEM-ORD000017-2,ORD000017,PROD00331,4,351.51,10
ITEM-ORD000017-3,ORD000017,PROD00376,2,352.4,0
ITEM-ORD000017-4,ORD000017,PROD00422,2,363.63,0
ITEM-ORD000018-1,ORD000018,PROD00014,4,189.85,15
ITEM-ORD000018-2,ORD000018,PROD00332,4,270.34,20
ITEM-ORD000018-3,ORD000018,PROD00351,3,170.56,15
ITEM-ORD000018-4,ORD000018,PROD00106,4,444.54,0
ITEM-ORD000019-1,ORD000019,PROD00106,5,64.7,0
ITEM-ORD000019-2,ORD000019,PROD00010,2,94.92,5
ITEM-ORD000019-3,ORD000019,PROD00467,3,19.34,0
ITEM-ORD000020-1,ORD000020,PROD00375,5,147.81,0
ITEM-ORD000020-2,ORD000020,PROD00390,3,484.17,15
ITEM-ORD000020-3,ORD000020,PROD00002,4,123.88,0
ITEM-ORD000021-1,ORD000021,PROD00252,1,108.7,10
ITEM-ORD000021-2,ORD000021,PROD00225,2,404.68,10
ITEM-ORD000021-3,ORD000021,PROD00220,1,245.83,0
ITEM-ORD000022-1,ORD000022,PROD00058,5,127.25,10
ITEM-ORD000022-2,ORD000022,PROD00323,4,310.18,10
ITEM-ORD000022-3,ORD000022,PROD00236,2,332.44,20
ITEM-ORD000023-1,ORD000023,PROD00371,5,228.59,5
ITEM-ORD000023-2,ORD000023,PROD00101,5,261.06,10
ITEM-ORD000024-1,ORD000024,PROD00263,4,113.09,20
ITEM-ORD000024-2,ORD000024,PROD00063,4,483.71,0
ITEM-ORD000024-3,ORD000024,PROD00492,4,180.81,15
ITEM-ORD000025-1,ORD000025,PROD00279,3,75.2,10
ITEM-ORD000025-2,ORD000025,PROD00500,5,266.16,5
ITEM-ORD000025-3,ORD000025,PROD00252,5,135.27,10
ITEM-ORD000025-4,ORD000025,PROD00120,4,24.94,0
ITEM-ORD000026-1,ORD000026,PROD00278,4,237.21,15
ITEM-ORD000027-1,ORD000027,PROD00231,4,225.78,15
ITEM-ORD000028-1,ORD000028,PROD00360,4,46.87,0
ITEM-ORD000028-2,ORD000028,PROD00309,5,32.25,15
ITEM-ORD000029-1,ORD000029,PROD00017,2,349.15,0
ITEM-ORD000029-2,ORD000029,PROD00186,1,337.63,0
ITEM-ORD000030-1,ORD000030,PROD00078,5,349.53,5
ITEM-ORD000030-2,ORD000030,PROD00144,2,200.87,0
ITEM-ORD000031-1,ORD000031,PROD00387,2,294.36,0
ITEM-ORD000031-2,ORD000031,PROD00202,4,126.73,0
ITEM-ORD000031-3,ORD000031,PROD00042,4,99.42,5
ITEM-ORD000031-4,ORD000031,PROD00109,4,425.75,10
ITEM-ORD000032-1,ORD000032,PROD00018,2,280.85,15
ITEM-ORD000032-2,ORD000032,PROD00006,3,423.31,10
ITEM-ORD000032-3,ORD000032,PROD00239,3,267.09,20
ITEM-ORD000033-1,ORD000033,PROD00461,5,88.91,15
ITEM-ORD000033-2,ORD000033,PROD00352,3,325.99,0
ITEM-ORD000033-3,ORD000033,PROD00478,1,465.59,0
ITEM-ORD000033-4,ORD000033,PROD00359,3,312.01,0
ITEM-ORD000034-1,ORD000034,PROD00192,3,476.14,0
ITEM-ORD000034-2,ORD000034,PROD00140,2,495.79,20
ITEM-ORD000034-3,ORD000034,PROD00116,3,313.12,5
ITEM-ORD000034-4,ORD000034,PROD00429,1,360.75,5
ITEM-ORD000035-1,ORD000035,PROD00073,4,160.66,5
ITEM-ORD000035-2,ORD000035,PROD00077,1,380.54,0
ITEM-ORD000035-3,ORD000035,PROD00083,2,126.1,0
ITEM-ORD000035-4,ORD000035,PROD00358,1,82.4,0
ITEM-ORD000036-1,ORD000036,PROD00413,4,349.96,0
ITEM-ORD000036-2,ORD000036,PROD00448,5,349.02,0
ITEM-ORD000036-3,ORD000036,PROD00314,1,133.55,0
ITEM-ORD000036-4,ORD000036,PROD00241,5,194.9,10
ITEM-ORD000037-1,ORD000037,PROD00390,1,254.0,20
ITEM-ORD000037-2,ORD000037,PROD00490,1,36.79,5
ITEM-ORD000038-1,ORD000038,PROD00444,2,433.83,20
ITEM-ORD000038-2,ORD000038,PROD00300,3,135.51,0
ITEM-ORD000039-1,ORD000039,PROD00156,5,492.95,0
ITEM-ORD000040-1,ORD000040,PROD00466,4,206.99,10
ITEM-ORD000041-1,ORD000041,PROD00223,5,456.96,5
ITEM-ORD000041-2,ORD000041,PROD00299,1,181.12,15
ITEM-ORD000041-3,ORD000041,PROD00168,4,302.89,15
ITEM-ORD000042-1,ORD000042,PROD00463,1,405.84,10
ITEM-ORD000042-2,ORD000042,PROD00058,4,152.72,15
ITEM-ORD000042-3,ORD000042,PROD00334,5,327.58,0
ITEM-ORD000042-4,ORD000042,PROD00403,4,415.45,0
