order_id,customer_id,order_date,order_status,payment_method,shipping_city,shipping_state,shipping_country
ORD000001,CUST04234,2024-07-22 14:17:23,Delivered,Apple Pay,Spokane,WA,United States
ORD000002,CUST02143,2024-02-18 03:31:06,Delivered,Debit Card,Alexandria,VA,United States
ORD000003,CUST00780,2025-02-16 08:07:03,Delivered,Debit Card,Alexandria,VA,United States
ORD000004,CUST02216,2025-02-06 23:01:57,Shipped,Debit Card,San Francisco,CA,United States
ORD000005,CUST01248,2024-02-28 23:10:50,Processing,Debit Card,Norfolk,VA,United States
ORD000006,CUST04196,2024-11-16 06:57:36,Shipped,PayPal,Spokane,WA,United States
ORD000007,CUST00392,2025-02-02 01:04:31,Processing,PayPal,Richmond,VA,United States
ORD000008,CUST02061,2024-04-03 08:52:15,Shipped,Debit Card,Alexandria,VA,United States
ORD000009,CUST03604,2024-03-04 18:39:44,Delivered,Apple Pay,Seattle,WA,United States
ORD000010,CUST00849,2024-09-10 04:56:37,Delivered,PayPal,Naperville,IL,United States
ORD000011,CUST04017,2024-12-16 20:39:34,Delivered,Credit Card,New York,NY,United States
ORD000012,CUST00658,2024-11-14 15:16:56,Shipped,PayPal,New York,NY,United States
ORD000013,CUST00753,2024-05-21 12:46:33,Delivered,Apple Pay,Virginia Beach,VA,United States
ORD000014,CUST03675,2024-08-24 03:30:52,Shipped,Apple Pay,Alexandria,VA,United States
ORD000015,CUST01598,2025-03-13 23:52:28,Processing,Credit Card,Miami,FL,United States
ORD000016,CUST01318,2025-01-12 10:04:20,Delivered,Debit Card,Los Angeles,CA,United States
ORD000017,CUST03471,2024-06-23 20:32:09,Delivered,Credit Card,Jacksonville,FL,United States
ORD000018,CUST01367,2024-07-12 20:07:50,Processing,Apple Pay,Naperville,IL,United States
ORD000019,CUST00035,2024-10-23 05:13:04,Delivered,Apple Pay,Orlando,FL,United States
ORD000020,CUST01132,2024-03-24 15:20:55,Delivered,Debit Card,Tacoma,WA,United States
